FUNDOS,TIPO,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,DIVIDEND YIELD,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (12M) MÉDIA,VARIAÇÃO PREÇO,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
STRX11,DESENVOLVIMENTO,"8,52",N/A,"0,05","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","264.632.412,13","164,01","0,05","0,43 %","10,58 %",3,N/A,57,N/A,N/A,N/A
TCPF11,MISTO,"1,26",N/A,"0,01","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","35.035.660,99",N/A,N/A,N/A,N/A,0,N/A,51,N/A,N/A,N/A
AGRX11,TIJOLO,"10,70","189.276,36",N/A,"1,40 %","16,15 %","1,26 %","1,35 %","-1,29 %",N/A,N/A,N/A,N/A,N/A,0,"21,75",0,N/A,N/A,N/A
AROA11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","179.192.331,38",N/A,N/A,N/A,N/A,6,N/A,1,N/A,N/A,N/A
AURB11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","72.615.460,86",N/A,N/A,N/A,N/A,2,N/A,5,N/A,N/A,N/A
BBIM11,PAPEL,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","17.665.182,23","17,07",N/A,"0,59 %","-43,18 %",0,N/A,20,N/A,N/A,N/A
BDIF11,DESENVOLVIMENTO,"92,29","2.481.999,42",N/A,"1,46 %","15,47 %","1,39 %","1,29 %","-4,42 %",N/A,N/A,N/A,N/A,N/A,0,"12,94",0,N/A,N/A,N/A
BDIV11,N/A,"121,06","527.838,67",N/A,"4,42 %","41,03 %","4,68 %","4,56 %","3,58 %",N/A,N/A,N/A,N/A,N/A,0,"21,42",0,N/A,N/A,N/A
BIDB11,DESENVOLVIMENTO,"87,15","157.122,70",N/A,"0,74 %","11,73 %","0,71 %","0,98 %","0,89 %",N/A,N/A,N/A,N/A,N/A,0,"9,34",0,N/A,N/A,N/A
BIPD11,TIJOLO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","48.095.081,91",N/A,N/A,N/A,N/A,0,N/A,111,N/A,N/A,N/A
BODB11,TIJOLO,"9,45","591.234,52",N/A,"1,26 %","12,65 %","1,16 %","1,05 %","-2,57 %",N/A,N/A,N/A,N/A,N/A,0,"8,69",0,N/A,N/A,N/A
BPLC11,MISTO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","318.553.742,53",N/A,N/A,N/A,N/A,1,N/A,114,N/A,N/A,N/A
BRZP11,N/A,"89,50","597.749,79",N/A,"0,51 %","5,69 %","0,51 %","0,47 %","-2,61 %",N/A,N/A,N/A,N/A,N/A,0,"20,44",0,N/A,N/A,N/A
BTAG11,TIJOLO,"94,67","528.157,45",N/A,"1,31 %","16,46 %","1,39 %","1,37 %","2,16 %",N/A,N/A,N/A,N/A,N/A,0,"16,63",0,N/A,N/A,N/A
BZEL11,MISTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"415.338.051,14",N/A,N/A,N/A,N/A,0,N/A,3,N/A,N/A,N/A
CDII11,TIJOLO,"105,87","665.124,58",N/A,"1,05 %","7,88 %","1,64 %","1,97 %","-0,55 %",N/A,N/A,N/A,N/A,N/A,0,"6,43",0,N/A,N/A,N/A
CFHI11,DESENVOLVIMENTO,N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","60.990.466,32",N/A,N/A,N/A,N/A,2,N/A,54,N/A,N/A,N/A
